Audio,Length,EN %,SW %,Gender,Remarks (Subject Matter / Comments)
https://www.youtube.com/watch?v=KqD9emPV8aY,0:34:37,0,100,M & F,Educational
https://www.youtube.com/watch?v=geyyAZ46hOs,1:17:38,60,40,F,Lifestyle
https://www.youtube.com/watch?v=5sODCCwg42w,0:51:58,60,40,F,Lifestyle
https://www.youtube.com/watch?v=7ix5jbCmiDU,0:51:30,60,40,M & F,Politics
https://www.youtube.com/watch?v=voaJasx9evI,1:15:20,60,40,M & F,Lifestyle
https://www.youtube.com/watch?v=xmMfrIVufq4,1:17:54,60,40,M & F,Lifestyle
https://www.youtube.com/watch?v=jTpMrlMPTn4,0:20:05,60,40,M & F,Lifestyle
https://www.youtube.com/watch?v=Isqfm3Ypo1U,0:34:22,60,40,M & F,Lifestyle
https://www.youtube.com/watch?v=vpAiP8Yee6s,1:46:06,60,40,M,Politics
https://www.youtube.com/watch?v=L6UumnxKBrs,0:05:47,60,40,M,Lifestyle
https://www.youtube.com/watch?v=YvRI_XWC5CI,0:15:31,60,40,M & F,Finance
https://www.youtube.com/watch?v=dmzz_J9VsS8,0:23:31,70,30,F,Lifestyle
https://www.youtube.com/watch?v=wbSEy7mzsvA,0:22:41,70,30,F,Lifestyle
https://www.youtube.com/watch?v=NVPj5q2YTTE,0:22:28,70,30,F,Lifestyle
https://www.youtube.com/watch?v=REH_Ocv_hcc,0:23:54,70,30,F,Lifestyle
https://www.youtube.com/watch?v=bs5YjWxubmI,2:59:08,70,30,M & F,Politics
https://www.youtube.com/watch?v=dgUrumRbOQk,0:20:12,70,30,M,Lifestyle
https://www.youtube.com/watch?v=S2uUW0AwhvA,0:49:14,70,30,M & F,Politics
https://www.youtube.com/watch?v=T7xEuF2XNHg,0:21:13,80,20,F,Lifestyle
https://www.youtube.com/watch?v=hbUscssP4EI,0:30:34,80,20,M & F,Lifestyle
https://www.youtube.com/watch?v=4W54DQqWb1c,0:36:38,80,20,M & F,Lifestyle
https://www.youtube.com/watch?v=agNvI24ctiA&list=PLTcSrz4JaoGFaAGVY9Q0-iVnBAedxtKbx&index=2,0:37:51,80,20,M,Lifestyle
https://www.youtube.com/watch?v=2XrO-Sp5sHs,1:31:08,90,10,F,Lifestyle
https://www.youtube.com/watch?v=X4-bJOq9OU4,0:49:41,90,10,M,Lifestyle
https://www.youtube.com/watch?v=sw7nCA3DsbY,0:35:19,90,10,M & F,Lifestyle
https://www.youtube.com/watch?v=rpj9UMPBT-U&list=PLTcSrz4JaoGHSlu9WYu2yHHjg7LZKWxum,0:29:21,90,10,M & F,Lifestyle
https://www.youtube.com/watch?v=D6v2XYqMmto,0:49:50,90,10,M,Lifestyle
https://www.youtube.com/watch?v=1qwigquIN60,1:46:54,90,10,M & F,Finance
https://www.youtube.com/watch?v=h85BJVy79LM,0:28:11,95,5,F,Lifestyle
https://www.youtube.com/watch?v=0s1PlO95-cg,1:37:59,95,5,F,Lifestyle
https://www.youtube.com/watch?v=SOMkJKHeaDo,0:29:00,95,5,F,Finance
https://www.youtube.com/watch?v=KGYz_7UYunc,0:06:40,95,5,F,Finance
https://www.youtube.com/watch?v=6nH8ylbiP_0,0:35:03,95,5,F,Lifestyle
https://www.youtube.com/watch?v=TgwXlLfZsZg,1:20:25,95,5,F,Lifestyle
https://www.youtube.com/watch?v=_F0WwvaSxOQ,0:50:14,95,5,F,Lifestyle
https://www.youtube.com/watch?v=jDotnsEjgOg,0:38:03,95,5,M & F,Lifestyle
https://www.youtube.com/watch?v=rafKy2XxoMg,0:41:30,95,5,M & F,Lifestyle
https://www.youtube.com/watch?v=bI9FIz6xB-s&list=PLTcSrz4JaoGGzbQudDwyCtySmhY-r_Xwp&index=2,0:40:55,95,5,M & F,Lifestyle
https://www.youtube.com/watch?v=dxIsNn31XlU,1:17:41,95,5,M,Lifestyle
https://www.youtube.com/watch?v=__mDrs8NB0w&list=RDCMUCJ7F5LT-7h8Hfplf6BTTiXg&start_radio=1,,95,5,M & F,Finance
https://www.youtube.com/watch?v=8oKuuSy1ldc,1:34:16,98,2,M & F,Educational
https://www.youtube.com/watch?v=GUUxdLCzKkA,0:27:51,100,0,F,Lifestyle
https://www.youtube.com/watch?v=oFcOdYB1xyk,0:23:14,100,0,F,Lifestyle
https://www.youtube.com/watch?v=IPL2lHSNm-E,0:27:13,100,0,F,Finance
https://www.youtube.com/watch?v=aJ8GuSrO1Uw,0:24:36,100,0,F,Finance
https://www.youtube.com/watch?v=gyzxY_t7drg,1:26:17,100,0,F,Lifestyle
https://www.youtube.com/watch?v=AD5J4GYGtOA,0:56:01,100,0,F,Lifestyle
https://www.youtube.com/watch?v=euP_R2-SrvQ,0:51:01,100,0,F,Lifestyle
https://www.youtube.com/watch?v=KF3HUhXb2u4,1:00:08,100,0,F,Lifestyle
https://www.youtube.com/watch?v=oKWMaLm6Dtw,0:49:24,100,0,F,Lifestyle
https://www.youtube.com/watch?v=_5R2Fa_kgZs,0:59:48,100,0,F,Lifestyle
https://www.youtube.com/watch?v=F64-NJdN04M,0:12:55,100,0,M,Politics
https://www.youtube.com/watch?v=DLu3wmholOA,0:29:22,100,0,M & F,Politics
https://www.youtube.com/watch?v=uUMOE3VFhEw,1:04:44,100,0,M & F,Finance
https://www.youtube.com/watch?v=jsaeujzL2Wo&list=PLMjEXFH8-Vmhmk3bFhq_rRxZUdRomn0mG&index=2,1:09:34,100,0,M & F,Finance
https://www.youtube.com/watch?v=JC2n4Pdst_A,1:18:13,100,0,M & F,Finance
https://www.youtube.com/watch?v=g7doqbbe3-g,1:28:55,100,0,M,Finance
https://www.youtube.com/watch?v=N0hVgFdtRU4,0:57:13,100,0,M,Finance
https://www.youtube.com/watch?v=MITuFpJrP3Y,0:07:30,100,0,M,Finance
https://www.youtube.com/watch?v=9hxwlLTovlM,0:21:43,100,0,M,Finance
https://www.youtube.com/watch?v=N4FX591E9Q0,1:13:18,100,0,M,Finance
https://www.youtube.com/watch?v=pZ0LValRedc,1:12:30,100,0,M,Finance
https://www.youtube.com/watch?v=K11nTB28cmc,0:04:19,100,0,M & F,Finance
https://www.youtube.com/watch?v=WqKqUuxIGyc,1:00:25,100,0,M & F,Finance
https://www.youtube.com/watch?v=XdlKXOfToG4,1:01:01,100,0,M & F,Finance
https://www.youtube.com/watch?v=HJMt2TxMCNs,0:24:36,100,0,F,Finance
https://www.youtube.com/watch?v=rooV4-fuOW8,0:23:15,100,0,F,Finance
https://www.youtube.com/watch?v=nLoiaOhM3sU,0:53:55,100,0,M & F,Finance
https://www.youtube.com/watch?v=wwQyGgKmai8,0:41:15,15,85,M & F,Lifestyle
https://www.youtube.com/watch?v=ARsOEPST3oQ,0:12:07,2,98,M,Politics
https://www.youtube.com/watch?v=4JN7uwlL-DM,0:12:28,98,2,M,Politics
https://www.youtube.com/watch?v=kTstHgXiGog,0:01:29,20,80,M & F,Politics
https://www.youtube.com/watch?v=A4KeY7FYMEE,0:04:56,2,98,M & F,Educational
https://www.youtube.com/watch?v=wtbqRDMjOe4,0:02:40,60,40,M & F,Educational
https://www.youtube.com/watch?v=knt7eN-BT_w,0:01:22,90,10,M,Politics
https://www.youtube.com/watch?v=g_qxPFhZzKM,0:20:16,20,80,M & F,Politics
https://www.youtube.com/watch?v=b_4_MeZdyk8,0:28:20,0,100,M & F,Politics
https://www.youtube.com/watch?v=pwoLqQ8UzhI,0:04:35,0,100,M & F,Politics
https://www.youtube.com/watch?v=pDa8WLWE8sE,0:01:50,0,100,M & F,Politics
https://www.youtube.com/watch?v=FQdQht5fOkg,1:51:12,95,5,M,Finance
https://www.youtube.com/watch?v=U_pt2IiR6Rw,1:26:17,95,5,F,Finance
https://www.youtube.com/watch?v=4umjcivnchM,0:02:45,0,100,F,Politics
https://www.youtube.com/watch?v=ejxQvn-WdSU,4:07:45,90,10,M & F,Politics
https://www.youtube.com/watch?v=68Op8RboVSQ,3:27:28,60,40,M & F,Politics
https://www.youtube.com/watch?v=yqExytla4VU,0:25:40,20,80,M,Politics
https://www.youtube.com/watch?v=DV91AGRjR4M,0:02:38,20,80,M & F,Politics
https://www.youtube.com/watch?v=EZSbPYlpvj8,3:55:18,80,20,M,Finance
https://www.youtube.com/watch?v=Vf4oX6165Rc,2:55:15,80,20,M,Finance
https://www.youtube.com/watch?v=E3CiQ6ySz6k,0:33:44,100,0,M,Politics
https://www.youtube.com/watch?v=ga9tK6b5tNE,1:35:28,100,0,M,Finance
https://www.youtube.com/watch?v=0UZFmqxo2AY,0:02:00,95,5,M,Politics
https://www.youtube.com/watch?v=RjFiBW6Z2h4,0:10:44,5,95,M,Finance
